cui,term,semtype,class
C0002873,Anemia of chronic disease,dsyn,clinical
NA,NA,"gngm,aapp",biological
C0014819,Erythropoiesis,ortf,biological
C0445623,Microorganism,orgm,target
C0445625,Staphylococcus  coagulase negative  organism ,bact,pathogen
C0007561,Ceftriaxone,"antb,orch",biological
C1764827,Isolate   microorganism,bacs,biological
C0007113,Rectal Carcinoma,neop,biological
C1515089,Surgical Management,hlca,clinical
C0009566,Complication,patf,clinical
C0012634,Disease,dsyn,clinical
C0004623,Bacterial Infections,dsyn,clinical
C0001699,Klebsiella pneumoniae,bact,pathogen
C0035648,risk factors,fndg,clinical
C3272283,American College of Cardiology American Heart Association Lesion Complexity Score C,fndg,clinical
C1328050,high dose chemotherapy,topp,clinical
C1504389,Stem cell transplant,topp,clinical
C0184661,Interventional procedure,topp,clinical
C0018704,Health care facility,"hcro,mnob",clinical
C0040808,Treatment Protocols,topp,clinical
C0085470,Pseudomonas putida,bact,pathogen
C0685938,Malignant neoplasm of gastrointestinal tract,neop,biological
C0022729,Klebsiella Infections,dsyn,clinical
C0587491,Hematology department,hcro,clinical
C0015230,Exanthema,sosy,clinical
C0035150,Reproduction,orgf,biological
C0011847,Diabetes,dsyn,clinical
C0038454,Cerebrovascular accident,dsyn,clinical
C0742006,Catheter infection,dsyn,clinical
C0022885,Laboratory Procedures,lbpr,clinical
C0179740,Peripherally inserted central catheter  physical object ,medd,clinical
C0338237,Antibiotic therapy,topp,clinical
C1096243,central line infection,patf,clinical
C1145640,Central venous catheter  device,medd,clinical
C1273869,Intervention regimes,hlca,clinical
C0337954,Tertiary care hospital,"hcro,mnob",clinical
C0744471,gram negative bacteremia,dsyn,clinical
C0151636,Premature ventricular contractions,dsyn,clinical
C1527386,Peripheral parenteral nutrition,topp,clinical
C1332823,CXCR4 gene,"gngm,aapp",biological
C1844666,Immune dysregulation,fndg,clinical
C0037993,Spleen,bpoc,location
C0005953,Bone Marrow,tisu,biological
C3641721,Naive T Lymphocyte,cell,biological
C1825598,IMPACT gene,"gngm,aapp",biological
C0441134,Vascular Catheters,medd,clinical
C0006968,Carbapenems,"antb,orch",biological
C0021933,Intussusception,dsyn,clinical
C0022671,Kidney Transplantation,topp,clinical
C0026766,Multiple Organ Failure,patf,clinical
C0037925,Spinal Cord,bpoc,location
C0524850,Neurosurgical Procedures,topp,clinical
C0011649,Dermoid Cyst,neop,biological
C1457868,Worse,fndg,clinical
C4330937,Partial Resection,topp,clinical
C0006560,C reactive protein,"aapp,gngm,imft",biological
C0072027,procalcitonin,"aapp,gngm,bacs",biological
C0597357,receptor,"aapp,gngm,rcpt",biological
C0746883,Febrile Neutropenia,dsyn,clinical
C0009932,Control Groups,"grup,humn",clinical
C0871754,Frail,fndg,clinical
C0699889,Malignant Female Reproductive System Neoplasm,neop,biological
C0029925,Ovarian Carcinoma,neop,biological
C0749769,underlying infection,dsyn,clinical
C0025289,Meningitis,dsyn,clinical
C0004590,Bacillus cereus,bact,pathogen
C0006105,Brain Abscess,dsyn,clinical
C1096197,Immune reconstitution syndrome,dsyn,clinical
C0225808,Right side of heart,blor,location
C0027051,Myocardial Infarction,dsyn,clinical
C0025066,Mediastinum,blor,location
C0003842,Arteries,bpoc,location
C0315222,Edwardsiella tarda,bact,pathogen
C2987417,ponatinib,"orch,phsu",biological
C0055003,cefepime,"antb,orch",biological
C0877373,advanced cancer,neop,biological
C3806166,Poor outcome,fndg,clinical
C0282624,Minimally Invasive Surgical Procedures,topp,clinical
C0036983,Septic Shock,patf,clinical
C1719672,Severe Sepsis,dsyn,clinical
C0001617,Adrenal Cortex Hormones,"horm,orch,phsu",biological
C0013227,Pharmaceutical Preparations,phsu,biological
C0035222,Respiratory Distress Syndrome  Adult,dsyn,clinical
C0036974,Shock,patf,clinical
C0311276,Severe malnutrition,dsyn,clinical
C0007621,Neoplastic Cell Transformation,neop,biological
C0021368,Inflammation,patf,clinical
C0205082,Severe  severity modifier ,fndg,clinical
C1421416,UVRAG gene,"gngm,aapp",biological
C0023810,Lipopolysaccharides,orch,biological
C0021853,Intestines,bpoc,location
C1293130,Stabilization,topp,clinical
C0182953,Regulators  device ,medd,clinical
C1290884,Inflammatory disorder,dsyn,clinical
C0229671,Serum,bdsu,biological
C0018939,Hematological Disease,dsyn,clinical
C0243026,Sepsis,dsyn,clinical
C0026946,Mycoses,dsyn,clinical
C0005558,Biopsy,diap,clinical
C0025677,Methotrexate,"orch,phsu",biological
C0032952,Prednisone,"horm,orch,phsu",biological
C0036202,Sarcoidosis,dsyn,clinical
C0588055,Mediastinal lymph node group,bpoc,location
C0005954,Bone marrow biopsy,diap,clinical
C0015376,Extravasation,patf,clinical
C0009402,Colorectal Carcinoma,neop,biological
C1562590,Platelet volume,fndg,clinical
C3698200,Postoperative sepsis,patf,clinical
C0587437,Tertiary Care Centers,"hcro,mnob",clinical
C0018154,Gram Positive Bacteria,bact,pathogen
C0278701,Gastric Adenocarcinoma,neop,biological
C0319888,Cryptococcus laurentii,fngs,pathogen
C0860239,Catheter related infection,patf,clinical
C2886794,Catheter related bloodstream infection,patf,clinical
C0002679,Amphotericin B,"antb,orch",biological
C0024485,Magnetic Resonance Imaging,diap,clinical
C2748260,Transient elastography,diap,clinical
C4034374,Liver Stiffness,fndg,clinical
C0566602,Primary sclerosing cholangitis,dsyn,clinical
C4522043,Liver Ultrasonographic Elastography,diap,clinical
C0005401,Intrahepatic bile duct,bpoc,location
C0012644,Animal Disease Models,emod,biological
C0680063,Offspring,"famg,humn",clinical
C1571705,Follicle,bpoc,location
C0003062,Animals,anim,biological
C4281805,T Cell Specific Surface Glycoprotein CD28  human,"aapp,gngm,imft,rcpt",biological
C0034790,T Cell Receptor,"aapp,gngm,imft,rcpt",biological
C0010692,Cystitis,dsyn,clinical
C0920687,cancer care,topp,clinical
C0333355,Inflammatory disease of mucous membrane,patf,clinical
C0700221,Intravascular line,medd,clinical
C0878969,tunneled catheters,medd,clinical
C0085559,intensive care,hlca,clinical
C0153252,Systemic candidiasis,dsyn,clinical
C0021708,intensive care unit,"hcro,mnob",clinical
C0230168,Abdominal Cavity,blor,location
C0349410,Single organ dysfunction,sosy,clinical
C4048280,T Cell Surface Glycoprotein CD4  human,"aapp,gngm,bacs",biological
C0007620,Cell Survival,celf,biological
C0694894,TSC1 gene,"gngm,aapp",biological
C0744235,Sepsis due to fungus,dsyn,clinical
C1137054,SQSTM1 protein  human,"aapp,gngm,bacs",biological
C0206745,Mice  Knockout,mamm,target
C0054066,Amoxicillin   Clavulanate,phsu,biological
C0949665,Fluoroquinolones,"orch,phsu",biological
C0085423,Gram Negative Bacterial Infections,dsyn,clinical
C3272281,American College of Cardiology American Heart Association Lesion Complexity Score A,fndg,clinical
C0014834,Escherichia coli,bact,pathogen
C0304320,Third generation cephalosporin,"antb,orch",biological
C0282638,Antibiotic Prophylaxis,topp,clinical
C0149978,Adenocarcinoma of rectum,neop,biological
C0436307,Chemoradiotherapy,topp,clinical
C1273428,Total mesorectal excision,topp,clinical
C0031066,Anogenital region,blor,location
C0278250,Prognosis good,fndg,clinical
C0677874,In complete remission,fndg,clinical
C0019189,Hepatitis  Chronic,dsyn,clinical
C2239176,Liver carcinoma,neop,biological
C0019169,Hepatitis B Virus,virs,pathogen
C0042776,Virus,virs,pathogen
C0019132,Hepadnaviridae,virs,pathogen
C1519524,Paraffin Embedded Tissue,tisu,biological
C0028351,Norepinephrine,"horm,orch,phsu",biological
C0042413,Vasopressins,"aapp,gngm,horm,phsu",biological
C1708063,First line treatment,topp,clinical
C0031831,Physicians,"prog,humn",clinical
C0086530,Lawyer  occupation ,"prog,humn",clinical
C0019993,Hospitalization,hlca,clinical
C3897254,Ultrasound Guided Prostate Biopsy,diap,clinical
C0004659,Bacteriuria,dsyn,clinical
C0278704,Malignant Childhood Neoplasm,neop,biological
C0314756,Gram negative coccobacillus,bact,pathogen
C0027819,Neuroblastoma,neop,biological
C2825926,Autologous Stem Cell Rescue,topp,clinical
C1550225,Broviac,bpoc,location
C0317740,Moraxella nonliquefaciens,bact,pathogen
C0750952,Biliary Tract Cancer,neop,biological
C0579220,Shewanella,bact,pathogen
C0518609,consideration,fndg,clinical
C0279068,Childhood Solid Neoplasm,neop,biological
C0071216,Urokinase Plasminogen Activator Receptor,"aapp,gngm,imft,rcpt",biological
C0677881,Cytotoxic Chemotherapy,topp,clinical
C0700287,Reporting,hlca,clinical
C0275524,Coinfection,dsyn,clinical
C0023885,Liver Abscess,dsyn,clinical
C0238748,BACTEREMIA  POLYMICROBIAL,fndg,clinical
C0234233,Sore to touch,sosy,clinical
C0074992,sphingosine 1 phosphate,orch,biological
C0038402,Streptococcus,bact,pathogen
C0014344,Enterobacter,bact,pathogen
C0022727,Klebsiella,bact,pathogen
C0036765,Serratia,bact,pathogen
C0278252,Prognosis bad,fndg,clinical
C0040395,tomography,diap,clinical
C3814448,Low Anterior Resection,topp,clinical
C0193072,Total proctectomy,topp,clinical
C0023434,Chronic Lymphocytic Leukemia,neop,biological
C0035139,Surgical Replantation,topp,clinical
C0020964,Immunity,phsf,biological
C0021051,Immunologic Deficiency Syndromes,dsyn,clinical
C0199176,Prophylactic treatment,topp,clinical
C2826293,Clinical Significance,fndg,clinical
C1257890,Population Group,"popg,humn",clinical
C0005516,Biological Markers,clna,clinical
C0024312,Lymphopenia,dsyn,clinical
C0026764,Multiple Myeloma,neop,biological
C0442751,Distance vision 6 9,fndg,clinical
C0008976,Clinical Trials,resa,biological
C0854467,Myelosuppression,fndg,clinical
C0072470,Proto Oncogene Protein c kit,"aapp,gngm,imft,rcpt",biological
C0080222,TGFB1 protein  human,"aapp,gngm,bacs",biological
C0334227,Tumor cells  malignant,cell,biological
C0026882,Mutation,genf,biological
C0524910,Hepatitis C  Chronic,dsyn,clinical
C3266990,KIT Gene Mutation,comd,biological
C0085479,Fusobacterium nucleatum,bact,pathogen
C1541483,eculizumab,"aapp,gngm,imft,phsu",biological
C0003461,Anus,bpoc,location
C1142182,pelvic sepsis,dsyn,clinical
C4505465,Ileal Pouch Anal Anastomosis,topp,clinical
C0023473,Myeloid Leukemia  Chronic,neop,biological
C0343532,Streptococcal toxic shock syndrome,dsyn,clinical
C0579233,Streptococcus agalactiae,bact,pathogen
C1623038,Cirrhosis,dsyn,clinical
C4048756,Right arm,bpoc,location
C0023418,leukemia,neop,biological
C0272183,Qualitative abnormality of granulocyte,dsyn,clinical
C1268567,Protein tyrosine kinase inhibitor,phsu,biological
C0010340,Critical Illness,dsyn,clinical
C0678209,Adaptive Immunity,phsf,biological
C1515879,Activated Lymphocyte,cell,biological
C0007584,Cell Count,lbpr,clinical
C0278484,Malignant neoplasm of colon stage IV,neop,biological
C0013081,Down Regulation,moft,biological
C0020969,Immunity  Innate,orga,biological
C0039215,CD4 Positive T Lymphocytes,cell,biological
C0242629,CD8 Positive T Lymphocytes,cell,biological
C1426208,SOCS1 gene,"gngm,aapp",biological
C1426212,SOCS3 gene,"gngm,aapp",biological
C0111208,cytotoxic T lymphocyte antigen 4,"aapp,gngm,imft",biological
C1418401,PDCD1 gene,"gngm,aapp",biological
C1823649,TIGIT gene,"gngm,aapp",biological
C3539652,LAG3 wt Allele,"gngm,aapp",biological
C0677850,adjuvant therapy,topp,clinical
C0037995,Splenectomy,topp,clinical
C0205065,ovarian,bpoc,location
C0043251,Wounds and Injuries,inpo,biological
C3842674,Day 5,fndg,clinical
C3850079,Cytoreductive Surgery,topp,clinical
C0019682,HIV,virs,pathogen
C0019693,HIV Infections,dsyn,clinical
C2930845,Stenotrophomonas maltophilia bacteremia,dsyn,clinical
C0080194,Muscle strain,inpo,biological
C0024109,Lung,bpoc,location
C0017181,Gastrointestinal Hemorrhage,patf,clinical
C3887460,Cardiovascular,blor,location
C0877248,Adverse event,patf,clinical
C0472699,Hemopoietic stem cell transplant,topp,clinical
C1705576,Allogeneic Hematopoietic Stem Cell Transplantation,topp,clinical
C0205054,Hepatic,blor,location
C0040739,Transplantation  Homologous,topp,clinical
C0024302,Reticulosarcoma,neop,biological
C0000846,Agenesis,cgab,clinical
C0042149,Uterus,bpoc,location
C0206653,Angiomyoma,neop,biological
C0278584,Metastatic Carcinoma to the Uterine Cervix,neop,biological
C0020699,Hysterectomy,topp,clinical
C0014742,Erythema Multiforme,dsyn,clinical
C0004651,Bacteriophages,virs,pathogen
C0577725,Anterior mediastinum mass,dsyn,clinical
C0282386,Levofloxacin,"antb,orch",biological
C0455142,Intravenous therapy,topp,clinical
C0439663,Infected,fndg,clinical
C0007222,Cardiovascular Diseases,dsyn,clinical
C0024117,Chronic Obstructive Airway Disease,dsyn,clinical
C0151317,Chronic infectious disease,dsyn,clinical
C0029118,Opportunistic Infections,dsyn,clinical
C0184666,Hospital admission,hlca,clinical
C0805586,Challenge,hlca,clinical
C0442726,Detected  finding ,fndg,clinical
C0229664,peripheral blood,bdsu,biological
C1535922,Procalcitonin measurement,lbpr,clinical
C1511790,Detection,topp,clinical
C0005767,Blood,bdsu,biological
C0085483,Citrobacter freundii,bact,pathogen
C0315286,Providencia stuartii,bact,pathogen
C0149801,Sepsis due to urinary tract infection,dsyn,clinical
C1708385,Hospitalization Required,fndg,clinical
C0221198,Lesion,fndg,clinical
C0017185,Gastrointestinal Neoplasms,neop,biological
C0085273,Erythema Infectiosum,dsyn,clinical
C3470196,EVA1C gene,"gngm,aapp",biological
C0005775,Blood Circulation,phsf,biological
C0392920,Chemotherapy Regimen,topp,clinical
C0282583,Bacterial Translocation,celf,biological
C1418610,PKM gene,"gngm,aapp",biological
C0038525,Subarachnoid Hemorrhage,dsyn,clinical
C0040590,Tracheostomy procedure,topp,clinical
C4329809,Extremely Poor,fndg,clinical
C0020649,Hypotension,fndg,clinical
C0039231,Tachycardia,fndg,clinical
C0231835,Tachypnea,fndg,clinical
C0041182,Trophoblastic Neoplasms,neop,biological
C0205851,Germ cell tumor,neop,biological
C0683320,unwellness,fndg,clinical
C1011188,Saprochaete clavata,fngs,pathogen
C0521990,Associated sign,sosy,clinical
C0393080,voriconazole,"orch,phsu",biological
C0750466,Yeast infection,dsyn,clinical
C4076168,Multi drug resistant bacteria,bact,pathogen
C1875730,RINGER S,"orch,phsu",biological
C3177188,Early Therapy,topp,clinical
C0001924,Albumins,"aapp,gngm,bacs",biological
C0073385,Lactated Ringer s Solution,"orch,phsu",biological
C0035273,Resuscitation procedure,topp,clinical
C4534318,Catheter related blood stream infection,patf,clinical
C0000768,Congenital Abnormality,cgab,clinical
C0000731,Abdomen distended,fndg,clinical
C0003617,Appendix,bpoc,location
C0020971,Immunization,topp,clinical
C0003483,Aorta,bpoc,location
C0014118,Endocarditis,dsyn,clinical
C0028240,Nocardia,bact,pathogen
C0028242,Nocardia Infections,dsyn,clinical
C0006142,Malignant neoplasm of breast,neop,biological
C1142550,native valve endocarditis,dsyn,clinical
C0011860,Diabetes Mellitus  Non Insulin Dependent,dsyn,clinical
C0242379,Malignant neoplasm of lung,neop,biological
C0035204,Respiration Disorders,dsyn,clinical
C0031154,Peritonitis,patf,clinical
C0184893,Emergency operation,topp,clinical
C0199470,Mechanical ventilation,topp,clinical
C0362063,Other prophylactic chemotherapy,fndg,clinical
C0041044,Trimethoprim Sulfamethoxazole Combination,phsu,biological
C3536856,Cephalosporins,"antb,orch",biological
C0679246,advanced disease,fndg,clinical
C0022877,Laboratory,"hcro,mnob",clinical
C0876973,Infectious disease of lung,dsyn,clinical
C0030326,Panniculitis,dsyn,clinical
C0030328,Panniculitis  Nodular Nonsuppurative,dsyn,clinical
C0011906,Differential Diagnosis,diap,clinical
C3842672,Day 7,fndg,clinical
C0010031,Cornea,bpoc,location
C0018270,Growth,orgf,biological
C0040300,Body tissue,tisu,biological
C0079722,Lymphocytes  Tumor Infiltrating,cell,biological
C1998319,Functional capacity,fndg,clinical
C0749647,treatment empiric,fndg,clinical
C0007103,Malignant neoplasm of endometrium,neop,biological
C0038941,Surgical Wound Infection,patf,clinical
C0030446,Paralytic Ileus,dsyn,clinical
C0035078,Kidney Failure,dsyn,clinical
C0151859,Polyserositis,dsyn,clinical
C0000726,Abdomen,blor,location
C0817096,Chest,blor,location
C1333977,Hepatitis B Virus Related Hepatocellular Carcinoma,neop,biological
C0085555,Hospice Care,hlca,clinical
C0939537,Imatinib mesylate,"orch,phsu",biological
C0748042,pseudomonas bacteremia,dsyn,clinical
C0949285,Antibiotic Resistance  Microbial,orga,biological
C3656593,ceftolozane   tazobactam,phsu,biological
C0018150,Gram Negative Bacteria,bact,pathogen
C0038174,Staphylococcus epidermidis,bact,pathogen
C0033972,Psychotherapy  Multiple,topp,clinical
C0440790,Solid organ,bpoc,location
C0178784,Organ,bpoc,location
C0022688,Natural Killer Cells,cell,biological
C0023977,long term care,hlca,clinical
C0004561,B Lymphocytes,cell,biological
C0039194,T Lymphocyte,cell,biological
C0209368,mycophenolate mofetil,"orch,phsu",biological
C0003968,Ascorbic Acid,"orch,phsu,vita",biological
C0232805,Normal renal function,fndg,clinical
C0018995,Hemochromatosis,dsyn,clinical
C0030548,Parenteral Nutrition  Total,topp,clinical
C0678026,Antifungal therapy,topp,clinical
C1414672,FOXD3 gene,"gngm,aapp",biological
C0085082,Fungemia,dsyn,clinical
C0020028,Hospitals  University,"hcro,mnob",clinical
C0332149,Possible,fndg,clinical
C0909825,claudin 3,"aapp,gngm,bacs",biological
C0023890,Liver Cirrhosis,dsyn,clinical
C1149384,cytokine activity,moft,biological
C0524909,Hepatitis B  Chronic,dsyn,clinical
C0023895,Liver diseases,dsyn,clinical
C0275551,Primary bacterial peritonitis,dsyn,clinical
C3850141,Acute On Chronic Liver Failure,dsyn,clinical
C0022924,Lactates,orch,biological
C1168005,Alpha tumour necrosis factor measurement,lbpr,clinical
C1275732,Implantable venous access port,medd,clinical
C0001483,Adenoviruses,virs,pathogen
C1145670,Respiratory Failure,dsyn,clinical
C0015252,removal technique,topp,clinical
C0015450,Face,blor,location
C0022378,Jejunum,bpoc,location
C0043246,Laceration,inpo,biological
C0227391,Sigmoid colon,bpoc,location
C4296962,Normal function,fndg,clinical
C0086409,Hispanics,"popg,humn",clinical
C0010337,Care of intensive care unit patient,hlca,clinical
C0683971,general population,"popg,humn",clinical
C1999123,Continued Surveillance,hlca,clinical
C0751674,Lymphangioleiomyomatosis,neop,biological
C0005670,BK Virus,virs,pathogen
C0949792,Polyomaviridae,virs,pathogen
C0332835,Transplanted tissue,tisu,biological
C0024128,Lung Transplantation,topp,clinical
C0072980,Sirolimus,"antb,orch",biological
C0242687,Early Intervention  Education ,hlca,clinical
C1697878,BK virus nephropathy,dsyn,clinical
C0009054,Clostridium,bact,pathogen
C0009063,Clostridium perfringens,bact,pathogen
C0235574,Intravascular hemolysis,dsyn,clinical
C0341439,Chronic liver disease,dsyn,clinical
C0151763,Liver damage,patf,clinical
C0850292,radiofrequency ablation,topp,clinical
C0948540,Arterial Therapies,topp,clinical
C0014582,Epirubicin,"orch,phsu",biological
C0796679,Chemoembolization,topp,clinical
C0947677,Lipiodol,"irda,orch",biological
C1134564,Intrahepatic Infusion Procedure,topp,clinical
C0011079,Debridement,topp,clinical
C0004398,Autopsy,diap,clinical
C0333161,Pseudocyst,acab,clinical
C0587482,Pediatric department,hcro,clinical
C0032927,Precancerous Conditions,neop,biological
C0020029,Hospitals  Urban,hcro,clinical
C0486433,Extended spectrum beta lactamase,"aapp,gngm,enzy",biological
C2315751,Endorectal ultrasonography,diap,clinical
C0003204,Anti Infective Agents,phsu,biological
C0035366,Retroviridae,virs,pathogen
C0010356,Cross Infection,patf,clinical
C0205721,Infections  Hospital,dsyn,clinical
C1701940,Pneumonia  Ventilator Associated,dsyn,clinical
C1836348,Severe disorder,fndg,clinical
C0037813,Mass Spectrometry,lbpr,clinical
C0016832,Fungi,fngs,pathogen
C0033213,Problem,fndg,clinical
C1292769,Precursor B cell lymphoblastic leukemia,neop,biological
C0023690,Ligation,topp,clinical
C0400330,Anastomosis of intestine  large to anus,topp,clinical
C0020672,Hypothermia  natural,fndg,clinical
C0001962,Ethanol,"orch,phsu",biological
C0728899,Intoxication,fndg,clinical
C0012923,DNA Viruses,virs,pathogen
C0032556,Polyomavirus,virs,pathogen
C0086776,Parvovirus,virs,pathogen
C0010825,Cytomegalovirus,virs,pathogen
C0032285,Pneumonia,dsyn,clinical
C0042029,Urinary tract infection,dsyn,clinical
C1292777,Aggressive natural killer cell leukemia,neop,biological
C0030312,Pancytopenia,dsyn,clinical
C1882062,Neoplastic disease,neop,biological
C0007684,Central Nervous System Infection,dsyn,clinical
C0014061,Tick Borne Encephalitis,dsyn,clinical
C0019348,Herpes Simplex Infections,dsyn,clinical
C1262313,Invasive Fungal Infections,dsyn,clinical
C0456981,Specific antigen,imft,biological
C3890735,Complete Response with Incomplete Platelet Recovery,fndg,clinical
C0231221,Asymptomatic,fndg,clinical
C1144866,Multi disciplinary team,hlca,clinical
C2939419,Secondary Neoplasm,neop,biological
C0231224,Crisis,fndg,clinical
C1186763,Stem of Organ,bpoc,location
C0038002,Splenomegaly,fndg,clinical
C0242172,Pelvic Inflammatory Disease,dsyn,clinical
C0250480,piperacillin tazobactam combination,phsu,biological
C0038902,Gynecologic Surgical Procedures,topp,clinical
C0393022,rituximab,"aapp,gngm,imft,phsu",biological
C0432487,Post transplant lymphoproliferative disorder,neop,biological
C0206012,Multicenter Trials,resa,biological
C1305188,Right colon,bpoc,location
C0086582,Males,orga,biological
C0024305,Lymphoma  Non Hodgkin,neop,biological
C0008059,Child,"aggp,humn",clinical
C0041740,Universities,"mnob,orgt",clinical
C0021760,Interleukin 6,"aapp,gngm,imft",biological
C0085295,Interleukin 10,"aapp,gngm,imft",biological
C0003261,Antibody Formation,biof,biological
C0016318,Fluorescent Antibody Technique,lbpr,clinical
C0162633,Viral Shedding,patf,clinical
C0004422,Avian leukosis virus,virs,pathogen
C0948008,Ischemic stroke,dsyn,clinical
C1456447,SLC6A2 protein  human,"aapp,gngm,bacs",biological
C0010834,Cytoplasm,celc,biological
C0178913,Blood specimen,bdsu,biological
C0061187,Gelsolin,"aapp,gngm,bacs",biological
C0259990,Oncologists,"prog,humn",clinical
C0278598,Hematologist,"prog,humn",clinical
C0022940,Lactobacillus casei,bact,pathogen
C0430067,Cerebrospinal fluid examination,lbpr,clinical
C0199171,Medical procedure,hlca,clinical
C1522577,follow up,hlca,clinical
C2986717,Anti N Methyl D Aspartate Receptor Encephalitis,dsyn,clinical
C0476442,High antibody titer,fndg,clinical
C0600457,Gravidity,fndg,clinical
C4521453,FDG Positron Emission Tomography and Computed Tomography Scan,diap,clinical
C0679006,Decision,menp,clinical
C2926735,Duration,"orch,phsu",biological
C0037299,Skin Ulcer,dsyn,clinical
C0015560,Fallopian Tubes,bpoc,location
C0598463,Functional Status,fndg,clinical
C0017710,Glucocorticoids,"horm,orch",biological
C0029445,Bone necrosis,patf,clinical
C0011777,Dexamethasone,"orch,phsu",biological
C1040967,Enterobacteriales,bact,pathogen
C0369241,Filamentous fungus,fngs,pathogen
C0023884,Liver,bpoc,location
C0185115,Extraction,topp,clinical
C0153382,Malignant neoplasm of oropharynx,neop,biological
C0740690,Multiple abscesses,dsyn,clinical
C0017189,Gastrointestinal tract structure,bdsy,target
C0225317,soft tissue,tisu,biological
C0750430,work up,diap,clinical
C0343965,Infection by Basidiobolus,dsyn,clinical
C0019145,Hepatic artery,bpoc,location
C0034897,Recurrence,phpr,biological
C0040732,Transplantation,topp,clinical
C0854504,Enterococcus bacteraemia,dsyn,clinical
C0079459,Granulocyte Colony Stimulating Factor,"aapp,gngm,imft",biological
C0200949,Blood culture,lbpr,clinical
C0444186,Smear test,diap,clinical
C1855575,Very rare,fndg,clinical
C0079744,Diffuse Large B Cell Lymphoma,neop,biological
C0446051,Trichosporon asahii,fngs,pathogen
C0450254,Pathogenic organism,orgm,target
C4061114,Acute illness,patf,clinical
C0027708,Nephroblastoma,neop,biological
C0718566,Anti Fungal,"orch,phsu",biological
C0887899,Myeloid Cells,cell,biological
C1567710,PARP1 protein  human,"aapp,gngm,enzy",biological
C0014442,Enzymes,"aapp,gngm,enzy",biological
C0024432,macrophage,cell,biological
C0019158,Hepatitis,dsyn,clinical
C3653501,DIRECT ACTING ANTIVIRALS,phsu,biological
C0220908,Screening procedure,hlca,clinical
